,lat,lng,district_name,group,metric,gp_ratio,ch_ratio,gp_num,ch_num
15037,50.9449028724182,-2.48853688011488,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
15044,50.9628992755212,-2.50264018210815,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
15331,50.9426533220303,-2.49569991603991,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
15571,50.9696479266848,-2.48471276322488,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
15793,50.9426533220303,-2.48498969502262,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
15820,50.9516515235818,-2.44918978410636,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
15823,50.9494019731939,-2.47777931820752,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
15838,50.9494019731939,-2.45635576638089,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
16028,50.9359046708667,-2.4743501944792,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
16033,50.9628992755212,-2.4990685529394,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
16051,50.9561506243576,-2.48128017209834,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
16075,50.947152422806,-2.50636608450359,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
16086,50.9449028724182,-2.45283441595055,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
16101,50.9494019731939,-2.46706754229421,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
16425,50.9628992755212,-2.44549411540818,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
16426,50.9404037716424,-2.47073314957807,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
16427,50.9516515235818,-2.44561901932458,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
16428,50.9359046708667,-2.47791975005292,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
16429,50.9449028724182,-2.45640466236698,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
16430,50.9741470274606,-2.48823906045054,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
16475,50.9628992755212,-2.47763877792691,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
16530,50.9449028724182,-2.49567737294774,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
16552,50.9539010739697,-2.44916498258355,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
16572,50.9449028724182,-2.49210712653131,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
16754,50.9426533220303,-2.47070940033289,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
16761,50.9539010739697,-2.46701967065703,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
17170,50.9606497251333,-2.50266240257,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
17171,50.9718974770727,-2.4918343084257,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
17172,50.9336551204788,-2.47080437898875,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
17262,50.9516515235818,-2.45276054888814,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
17281,50.967398376297,-2.48116388213027,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
17307,50.9404037716424,-2.46002344672612,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
17507,50.9381542212545,-2.44933852626225,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
17690,50.947152422806,-2.49922524613828,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
17743,50.9516515235818,-2.48846819670597,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
18016,50.947152422806,-2.4492393775811,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
18042,50.9561506243576,-2.50984905585709,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
18060,50.947152422806,-2.45995063512907,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
18071,50.9426533220303,-2.4492889582983,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
18076,50.9426533220303,-2.4599991793156,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
18214,50.9449028724182,-2.45997490878341,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
18283,50.947152422806,-2.49208440777297,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
18285,50.9763965778485,-2.48821613060336,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
18316,50.6254667173392,-2.4704821930291,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
18564,50.9628992755212,-2.49549692377065,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
18584,50.9426533220303,-2.46713932666046,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
18593,50.9584001747454,-2.49554205347847,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
18601,50.9628992755212,-2.47406714875816,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
18916,50.6254667173392,-2.47757406793542,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
18917,50.9516515235818,-2.45633131366993,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
18918,50.9494019731939,-2.45278517440979,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
19162,50.9539010739697,-2.49201623395989,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
19276,50.6277162677271,-2.47400480389232,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
19608,50.9404037716424,-2.46716324862742,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
19609,50.9494019731939,-2.49206168609194,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
19610,50.9561506243576,-2.49913572444756,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
19633,50.9426533220303,-2.48141962135019,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
19729,50.9539010739697,-2.50272904680397,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
19732,50.9516515235818,-2.46347284323349,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
19740,50.9539010739697,-2.46344873304233,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
19929,50.9449028724182,-2.48496663369844,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
19962,50.9561506243576,-2.50627794538725,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
19970,50.9336551204788,-2.46009623023304,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
19990,50.9381542212545,-2.46718716751765,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
20177,50.9381542212545,-2.45647798276441,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
20179,50.9426533220303,-2.47784954767776,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
20422,50.9449028724182,-2.46711540161628,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
20464,50.947152422806,-2.47423231185969,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
20650,50.9426533220303,-2.45285903197074,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
20653,50.9741470274606,-2.49181155456255,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
20693,50.9404037716424,-2.45288364482483,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
20711,50.9606497251333,-2.49909094632314,Dorset,35,2.10437976030831,0.00913354827946382,0.01922045413910245,20147,860.0
