,lat,lng,District
437,-0.095543,51.347628,Croydon London Boro
438,-0.2394868,52.5865174,City of Peterborough (B)
439,-2.152427,52.591239,City of Wolverhampton District (B)
440,-1.0869888,52.9798009,Gedling District (B)
441,-1.7694631,51.3389078,Wiltshire
442,-1.0869888,52.9798009,Gedling District (B)
443,-0.0782,51.453181,Southwark London Boro
444,-0.1481437,51.3544071,Croydon London Boro
445,-0.6428361,50.8337114,Arun District
446,-1.6124721,55.0032054,Newcastle upon Tyne District (B)
447,-1.601024,55.0013223,Newcastle upon Tyne District (B)
448,-1.39896,54.872909,Sunderland District (B)
449,-1.274554,51.42098,West Berkshire
450,-0.2543761,51.3877372,Merton London Boro
451,-2.9518453,50.874209,South Somerset District
452,1.1144561,51.3680693,Thanet District
453,1.1300702,51.3601963,Thanet District
454,0.8970278,51.1673937,Ashford District (B)
455,-1.5463625,53.6624171,Wakefield District (B)
456,-1.3290203,54.5598475,Stockton-on-Tees (B)
457,-0.340769,51.372346,Elmbridge District (B)
458,-3.9242577,50.3879627,South Hams District
459,-0.0895716,51.3479269,Croydon London Boro
460,-0.000565,51.444895,Lewisham London Boro
461,-4.1276422,50.3766745,City of Plymouth (B)
462,-0.6383566,51.6004001,Buckinghamshire
463,1.3621629,51.3808169,Thanet District
464,-0.3436821,51.5889598,Harrow London Boro
465,-0.183074,51.619687,Barnet London Boro
466,-0.1713631,51.3986606,Merton London Boro
467,0.8799525,51.3101401,Swale District (B)
468,1.1363621,51.3679612,Thanet District
469,-4.100872,50.577759,West Devon District (B)
470,-1.3387529,52.0562488,West Northamptonshire
471,-0.283421,51.619765,Barnet London Boro
472,-1.4473919,55.0437444,North Tyneside District (B)
473,-0.278958,51.122416,Mole Valley District
474,-0.094327,51.0130595,Mid Sussex District
475,-0.1190084,50.9964977,Mid Sussex District
476,-3.1749885,54.1498344,Barrow-in-Furness District (B)
477,-0.3085488,51.3080843,Mole Valley District
478,-0.792437,51.348243,Bracknell Forest (B)
479,-0.1858277,51.3733746,Merton London Boro
480,-0.640014,51.10693,Waverley District (B)
481,-2.8569296,51.4396553,North Somerset
482,-1.9204989,50.7246592,"Bournemouth, Christchurch and Poole"
483,-0.837178,51.497794,Wokingham (B)
484,-1.3844146,50.9859606,Eastleigh District (B)
485,-0.8354723,51.2853023,Hart District
486,-0.7357472,51.6195987,Buckinghamshire
487,-1.6570671,50.7357915,New Forest District
488,-2.466413,53.726033,Blackburn with Darwen (B)
489,-2.400562,51.380466,Bath and North East Somerset
490,-0.101706,51.4024584,Croydon London Boro
491,-0.101489,51.403543,Croydon London Boro
492,-1.303318,53.500247,Doncaster District (B)
493,-1.1272747,52.9676639,City of Nottingham (B)
494,-0.686605,53.195753,North Kesteven District
495,0.5126718,51.8729303,Braintree District
496,1.1585422,51.1105418,Folkestone and Hythe District
497,-1.786392,50.720337,"Bournemouth, Christchurch and Poole"
498,-3.0148646,53.7451249,Blackpool (B)
499,-0.9738379,54.5791784,Redcar and Cleveland (B)
500,-3.0033732,51.1268269,Sedgemoor District
501,-0.6837193,51.6314987,Buckinghamshire
502,-1.0047634,51.7990487,Buckinghamshire
503,1.1696386,51.0759824,Folkestone and Hythe District
504,-1.2893277,50.9189632,Eastleigh District (B)
505,0.0463727,51.5216655,Newham London Boro
506,-1.9460867,52.4750506,Birmingham District (B)
507,-2.2360227,52.3855376,Wyre Forest District
508,-3.5239894,50.4796077,Torbay (B)
509,1.2917513,52.373682,East Suffolk District
510,-0.0526065,51.5549508,Hackney London Boro
511,-1.57616,55.136737,Northumberland
512,-0.1685666,51.207678,Reigate and Banstead District (B)
513,-2.0116967,54.9571033,Northumberland
514,-0.3124139,51.5110191,Ealing London Boro
515,-1.0742864,53.7798613,East Riding of Yorkshire
516,-2.9597149,51.2542254,Sedgemoor District
517,-0.3260051,51.0714577,Mole Valley District
518,-1.923984,52.649091,Walsall District (B)
519,1.4011025,51.3844954,Thanet District
520,-0.2536129,51.3935365,Merton London Boro
521,-0.6180858,51.5475334,Buckinghamshire
522,-0.3180441,51.2579073,Mole Valley District
523,0.9066375,51.4078589,Swale District (B)
524,-2.400562,51.380466,Bath and North East Somerset
525,1.0709343,51.2840588,Swale District (B)
526,-0.1809879,51.4583334,Wandsworth London Boro
527,-4.4669306,50.4574968,Cornwall
528,-0.1833624,51.4577351,Wandsworth London Boro
529,-2.400562,51.380466,Bath and North East Somerset
530,-2.019506,51.943307,Tewkesbury District (B)
531,-2.916321,54.9364021,Allerdale District (B)
532,-1.3471313,54.5538533,Stockton-on-Tees (B)
533,-0.168567,51.207678,Reigate and Banstead District (B)
534,1.2912989,51.164863,Dover District
535,-1.152791,50.805623,Gosport District (B)
536,-3.3804835,54.8784454,Allerdale District (B)
537,0.7097239,52.2568215,Babergh District
538,-0.071308,51.641797,Waltham Forest London Boro
539,-0.162074,51.1762,Reigate and Banstead District (B)
540,-1.5935635,50.7260599,New Forest District
541,0.374576,51.4328224,Gravesham District (B)
542,0.4546659,51.4144353,Gravesham District (B)
543,1.3925383,51.1879194,Dover District
544,0.7123191,52.1643946,Babergh District
545,-2.9738065,51.354704,North Somerset
546,-4.4820051,50.4440168,Cornwall
547,-0.2275191,54.0806473,East Riding of Yorkshire
548,-2.3908175,51.3865433,Bath and North East Somerset
549,-1.5487108,53.6593244,Wakefield District (B)
550,-1.2199129,54.5449849,Middlesbrough (B)
551,-2.3977883,51.3803496,Bath and North East Somerset
552,-0.2604242,51.3472436,Epsom and Ewell District (B)
553,-1.7992099,54.8609648,County Durham
554,-0.6192196,51.6510346,Buckinghamshire
555,-2.953917,53.382609,Liverpool District (B)
556,1.3015483,51.3780356,Thanet District
557,-1.7488162,52.5172023,North Warwickshire District (B)
558,-3.0006315,53.6323397,Sefton District (B)
559,-2.501272,53.728349,Blackburn with Darwen (B)
560,-0.1678903,50.8366457,The City of Brighton and Hove (B)
561,1.3292067,51.3808683,Thanet District
562,-3.597452,50.523519,Teignbridge District
563,-2.036388,52.4675325,Dudley District (B)
564,-0.2033031,51.5352966,Brent London Boro
565,-2.400562,51.380466,Bath and North East Somerset
566,-0.910796,52.2453321,West Northamptonshire
567,1.1198483,52.0587221,Babergh District
568,-0.596295,51.684689,Buckinghamshire
569,-2.400562,51.380466,Bath and North East Somerset
570,-1.9733412,52.5913496,Walsall District (B)
571,1.3333451,51.3802558,Thanet District
572,1.335067,51.385188,Thanet District
573,-1.5098564,53.812894,Leeds District (B)
574,-3.0203192,53.6391306,Sefton District (B)
575,-3.4173112,50.8218656,Mid Devon District
576,-2.9884291,53.6582832,Sefton District (B)
577,-2.9949666,53.623643,Sefton District (B)
578,-1.5946304,53.7986207,Leeds District (B)
579,-2.996499,53.6552452,Sefton District (B)
580,-2.9152676,53.4171054,Liverpool District (B)
581,-2.9961948,53.6550307,Sefton District (B)
582,-3.0639374,53.402686,Wirral District (B)
583,-2.2568541,53.0328531,Newcastle-under-Lyme District (B)
584,-1.3221237,53.5205155,Barnsley District (B)
585,-1.974839,52.606222,Walsall District (B)
586,-1.0097025,53.5758901,Doncaster District (B)
587,-2.0798555,53.4498451,Tameside District (B)
588,-1.4824492,53.4125778,Sheffield District (B)
